P_in_rel;P_in_stor;eta_in
0.668;0.5242;0.7847
0.6682;0.5236;0.7836
0.6687;0.5193;0.7766
0.6691;0.5254;0.7852
0.6693;0.5219;0.7797
0.6702;0.5195;0.7751
0.6704;0.5223;0.7791
0.6707;0.5198;0.775
0.6709;0.5201;0.7753
0.6711;0.5253;0.7828
0.6713;0.5207;0.7756
0.6722;0.5236;0.779
0.6727;0.5255;0.7812
0.6729;0.5277;0.7842
0.6733;0.531;0.7886
0.6738;0.5218;0.7744
0.674;0.5222;0.7748
0.6744;0.5268;0.7811
0.6747;0.5239;0.7765
0.6749;0.5261;0.7795
0.6751;0.5261;0.7793
0.6756;0.5291;0.7832
0.6764;0.525;0.7762
0.6767;0.5318;0.7858
0.6773;0.5313;0.7845
0.6775;0.5303;0.7827
0.6778;0.5269;0.7774
0.678;0.5267;0.7768
0.6784;0.5286;0.7792
0.6791;0.5351;0.788
0.6793;0.5305;0.7809
0.6795;0.5356;0.7883
0.68;0.528;0.7764
0.6802;0.5306;0.78
0.6807;0.5316;0.781
0.6809;0.5319;0.7811
0.6813;0.5303;0.7784
0.6818;0.533;0.7817
0.682;0.5332;0.7818
0.6822;0.5314;0.779
0.6824;0.5343;0.7829
0.684;0.535;0.7822
0.6847;0.5397;0.7882
0.6851;0.5367;0.7834
0.6853;0.538;0.785
0.6855;0.5384;0.7854
0.6858;0.5377;0.7841
0.686;0.5391;0.7859
0.6862;0.5373;0.783
0.6867;0.5402;0.7867
0.6871;0.5381;0.7832
0.6884;0.5398;0.7841
0.6887;0.5362;0.7786
0.6889;0.5382;0.7813
0.6893;0.5395;0.7827
0.6895;0.5389;0.7816
0.6904;0.5443;0.7884
0.6907;0.543;0.7862
0.6909;0.5425;0.7852
0.6913;0.549;0.7942
0.6918;0.5398;0.7803
0.692;0.5443;0.7865
0.6922;0.5405;0.7808
0.6942;0.543;0.7822
0.6949;0.5426;0.7809
0.6953;0.5445;0.7831
0.6958;0.5439;0.7817
0.696;0.5464;0.785
0.6962;0.5498;0.7897
0.6964;0.5483;0.7874
0.6971;0.5483;0.7866
0.6975;0.5493;0.7875
0.6978;0.5486;0.7862
0.698;0.5524;0.7914
0.6989;0.5563;0.796
0.6991;0.5492;0.7856
0.6995;0.5473;0.7824
0.7002;0.549;0.784
0.7004;0.5528;0.7892
0.7011;0.5502;0.7847
0.7015;0.5573;0.7945
0.702;0.5498;0.7832
0.7022;0.5551;0.7905
0.7024;0.5532;0.7876
0.7027;0.5503;0.7831
0.7029;0.5557;0.7906
0.7031;0.5549;0.7892
0.7035;0.5575;0.7924
0.7044;0.5526;0.7845
0.7051;0.5515;0.7821
0.7053;0.5546;0.7864
0.7055;0.5561;0.7883
0.706;0.5567;0.7885
0.7062;0.5591;0.7917
0.7064;0.5566;0.7879
0.7069;0.556;0.7865
0.7071;0.5579;0.789
0.7073;0.5578;0.7886
0.708;0.5577;0.7877
0.7087;0.5587;0.7884
0.7089;0.5637;0.7952
0.7091;0.5577;0.7865
0.7093;0.56;0.7895
0.7095;0.5572;0.7853
0.7098;0.5556;0.7827
0.71;0.5654;0.7964
0.7102;0.564;0.7942
0.7107;0.5647;0.7946
0.7111;0.5596;0.7869
0.7118;0.5639;0.7922
0.7124;0.5604;0.7867
0.7126;0.5612;0.7876
0.7129;0.5606;0.7863
0.7131;0.5631;0.7897
0.7133;0.5618;0.7876
0.7138;0.5636;0.7896
0.714;0.5628;0.7883
0.7155;0.5655;0.7904
0.7169;0.5624;0.7845
0.7171;0.5659;0.7891
0.7173;0.567;0.7904
0.7175;0.5716;0.7966
0.7178;0.5661;0.7886
0.718;0.5679;0.7909
0.7182;0.5732;0.7981
0.7189;0.5676;0.7896
0.7193;0.5689;0.7909
0.7204;0.5735;0.7961
0.7206;0.5719;0.7936
0.7211;0.573;0.7946
0.7213;0.5716;0.7924
0.7215;0.5708;0.7911
0.7218;0.5746;0.7961
0.7222;0.5767;0.7985
0.7224;0.5758;0.7971
0.7233;0.5702;0.7883
0.7242;0.5767;0.7963
0.7246;0.5763;0.7954
0.7249;0.5738;0.7916
0.7253;0.5787;0.7979
0.7255;0.576;0.7939
0.726;0.5791;0.7976
0.7262;0.5747;0.7914
0.7269;0.5779;0.795
0.7275;0.572;0.7863
0.7278;0.5747;0.7897
0.7282;0.5791;0.7953
0.7293;0.5756;0.7892
0.7295;0.5785;0.793
0.7298;0.5768;0.7903
0.7306;0.5778;0.7909
0.7309;0.5763;0.7885
0.7315;0.577;0.7888
0.7318;0.5833;0.7971
0.732;0.5816;0.7945
0.7322;0.5787;0.7903
0.7326;0.5811;0.7932
0.7329;0.5817;0.7937
0.7331;0.5837;0.7962
0.7333;0.5787;0.7892
0.7335;0.5839;0.796
0.7342;0.5824;0.7932
0.7344;0.5882;0.8009
0.7346;0.5824;0.7928
0.7349;0.5797;0.7888
0.7353;0.5864;0.7975
0.7355;0.5834;0.7932
0.7358;0.5806;0.7891
0.7362;0.5865;0.7966
0.7366;0.5875;0.7976
0.7369;0.5878;0.7977
0.7375;0.5834;0.7911
0.7378;0.5922;0.8026
0.7382;0.5891;0.798
0.7391;0.5857;0.7925
0.7395;0.5858;0.7921
0.7406;0.5866;0.7921
0.7413;0.5883;0.7936
0.7418;0.5905;0.7961
0.742;0.5897;0.7948
0.7424;0.5876;0.7915
0.7426;0.588;0.7918
0.7429;0.5925;0.7976
0.7431;0.593;0.798
0.7435;0.5906;0.7944
0.744;0.5921;0.7958
0.7442;0.5981;0.8037
0.7444;0.5887;0.7909
0.7449;0.5916;0.7942
0.7453;0.5905;0.7923
0.7455;0.5963;0.7998
0.7457;0.592;0.7939
0.746;0.5926;0.7944
0.7462;0.5897;0.7903
0.7464;0.5935;0.7952
0.7469;0.5934;0.7945
0.7473;0.5943;0.7953
0.7477;0.5955;0.7964
0.748;0.5959;0.7967
0.7482;0.595;0.7952
0.7484;0.5945;0.7943
0.7489;0.5999;0.8011
0.7491;0.5953;0.7947
0.75;0.598;0.7973
0.7502;0.6004;0.8003
0.7511;0.6021;0.8016
0.7515;0.6017;0.8007
0.752;0.5979;0.7951
0.7526;0.6009;0.7984
0.7529;0.5982;0.7945
0.7546;0.6059;0.803
0.7549;0.5996;0.7943
0.7551;0.6019;0.7971
0.7553;0.6008;0.7955
0.7555;0.6023;0.7972
0.7564;0.6019;0.7957
0.7584;0.6033;0.7955
0.7586;0.6079;0.8014
0.7589;0.6081;0.8013
0.7591;0.6054;0.7975
0.7593;0.6039;0.7954
0.7595;0.6126;0.8066
0.7597;0.6091;0.8018
0.76;0.6113;0.8044
0.7604;0.6068;0.798
0.7606;0.6153;0.809
0.7611;0.6102;0.8017
0.7615;0.6089;0.7996
0.7622;0.6107;0.8012
0.7629;0.6078;0.7967
0.7631;0.6168;0.8083
0.7637;0.6132;0.8029
0.764;0.6107;0.7994
0.7644;0.611;0.7993
0.7649;0.6187;0.8089
0.7651;0.6125;0.8005
0.7653;0.6093;0.7962
0.766;0.6135;0.8009
0.7662;0.6115;0.7981
0.7664;0.6186;0.8071
0.7666;0.612;0.7983
0.7669;0.6163;0.8036
0.7673;0.6122;0.7978
0.7686;0.6119;0.7961
0.7693;0.6163;0.8011
0.7695;0.6198;0.8055
0.7697;0.6136;0.7972
0.77;0.6167;0.8009
0.7702;0.6125;0.7952
0.7711;0.6196;0.8035
0.7713;0.6224;0.807
0.7715;0.6144;0.7964
0.7722;0.6172;0.7993
0.7724;0.6151;0.7964
0.7726;0.6225;0.8057
0.7731;0.6238;0.8069
0.7733;0.6191;0.8006
0.7735;0.6218;0.8039
0.7737;0.6216;0.8034
0.774;0.6186;0.7992
0.7742;0.6228;0.8044
0.7744;0.6264;0.8089
0.7746;0.624;0.8056
0.7749;0.6187;0.7984
0.7753;0.6269;0.8086
0.7755;0.6223;0.8024
0.7757;0.6203;0.7997
0.776;0.6249;0.8053
0.7764;0.6241;0.8038
0.7766;0.6207;0.7993
0.7769;0.6213;0.7997
0.7771;0.6279;0.808
0.7775;0.624;0.8026
0.7786;0.6207;0.7972
0.7791;0.6244;0.8014
0.7793;0.6283;0.8062
0.7795;0.629;0.8069
0.7802;0.6234;0.799
0.7804;0.6343;0.8128
0.7806;0.6264;0.8024
0.7808;0.6329;0.8106
0.7811;0.6253;0.8005
0.7815;0.6254;0.8002
0.7817;0.6278;0.8031
0.782;0.6358;0.8131
0.7828;0.6312;0.8063
0.7833;0.6266;0.8
0.7837;0.6304;0.8044
0.7842;0.6299;0.8033
0.7851;0.6311;0.8038
0.7862;0.6294;0.8005
0.7868;0.6354;0.8076
0.7875;0.6299;0.7999
0.7888;0.6374;0.808
0.7891;0.6345;0.8041
0.7893;0.6345;0.8039
0.7897;0.6365;0.806
0.79;0.6352;0.8041
0.7904;0.6378;0.8069
0.7908;0.639;0.8081
0.7911;0.6383;0.8069
0.7913;0.6365;0.8044
0.7915;0.6355;0.8029
0.7917;0.6439;0.8133
0.792;0.6357;0.8027
0.7926;0.643;0.8112
0.7928;0.6415;0.8092
0.7931;0.6406;0.8077
0.7935;0.6382;0.8043
0.7948;0.6389;0.8039
0.7953;0.6465;0.8129
0.7962;0.6452;0.8104
0.7964;0.6422;0.8064
0.7966;0.6445;0.8091
0.7975;0.6421;0.8052
0.7984;0.6426;0.8049
0.7988;0.6409;0.8023
0.7991;0.6473;0.81
0.7995;0.6465;0.8086
0.7997;0.6428;0.8038
0.8002;0.6432;0.8038
0.8004;0.6418;0.8018
0.8013;0.6462;0.8064
0.802;0.6481;0.8081
0.8024;0.6467;0.806
0.8031;0.6497;0.809
0.8033;0.6489;0.8078
0.8037;0.6517;0.8109
0.804;0.6493;0.8076
0.8055;0.6483;0.8048
0.8057;0.6467;0.8027
0.8062;0.6507;0.8071
0.8066;0.6519;0.8082
0.8068;0.6521;0.8083
0.8073;0.655;0.8113
0.8075;0.6533;0.8091
0.8077;0.6561;0.8123
0.808;0.6566;0.8126
0.8082;0.654;0.8092
0.8093;0.6552;0.8096
0.81;0.6574;0.8116
0.8102;0.658;0.8122
0.8104;0.6578;0.8117
0.8106;0.6587;0.8126
0.8113;0.6599;0.8134
0.8115;0.6559;0.8082
0.8117;0.6576;0.8102
0.812;0.6581;0.8105
0.8122;0.6589;0.8112
0.8124;0.6604;0.8129
0.8126;0.6588;0.8107
0.8131;0.6542;0.8046
0.8135;0.6617;0.8134
0.8139;0.6646;0.8166
0.8142;0.6575;0.8076
0.8144;0.6592;0.8094
0.8151;0.6631;0.8135
0.8153;0.6638;0.8142
0.8168;0.6607;0.8089
0.8171;0.6653;0.8142
0.8173;0.6601;0.8076
0.8177;0.6643;0.8124
0.8186;0.6599;0.8061
0.8191;0.6625;0.8088
0.8193;0.6653;0.812
0.8195;0.6641;0.8104
0.8197;0.6643;0.8104
0.8199;0.6657;0.8119
0.8202;0.6665;0.8126
0.8204;0.6633;0.8085
0.8206;0.6658;0.8114
0.8208;0.6606;0.8048
0.8213;0.6641;0.8086
0.8215;0.6667;0.8116
0.8217;0.6699;0.8153
0.8219;0.6618;0.8052
0.8224;0.664;0.8074
0.8226;0.6684;0.8126
0.8233;0.6712;0.8153
0.8237;0.669;0.8122
0.8244;0.6746;0.8183
0.8253;0.6723;0.8146
0.8262;0.6685;0.8091
0.8277;0.6769;0.8178
0.8282;0.6751;0.8152
0.8284;0.6729;0.8123
0.8288;0.6714;0.8101
0.8291;0.6743;0.8133
0.8293;0.6746;0.8134
0.8295;0.6726;0.8108
0.8302;0.6794;0.8184
0.8304;0.6723;0.8096
0.8306;0.6746;0.8122
0.8311;0.6774;0.8151
0.8315;0.6707;0.8066
0.8326;0.6782;0.8146
0.8331;0.6772;0.8129
0.8335;0.6731;0.8076
0.8342;0.675;0.8092
0.8353;0.6742;0.8071
0.8362;0.6832;0.817
0.8364;0.677;0.8094
0.8373;0.6817;0.8142
0.8375;0.6842;0.817
0.8379;0.685;0.8175
0.8382;0.6825;0.8143
0.8384;0.6812;0.8125
0.8386;0.6814;0.8125
0.8388;0.6882;0.8205
0.8391;0.6878;0.8197
0.8397;0.6859;0.8168
0.8404;0.6823;0.8119
0.8406;0.6804;0.8094
0.8411;0.682;0.8109
0.8415;0.6841;0.8129
0.8424;0.6852;0.8134
0.8428;0.6875;0.8157
0.8431;0.6818;0.8087
0.8451;0.685;0.8105
0.8468;0.6872;0.8115
0.8471;0.69;0.8145
0.8473;0.6932;0.8181
0.8482;0.69;0.8135
0.8486;0.697;0.8214
0.849;0.6894;0.812
0.8497;0.6955;0.8185
0.8499;0.6932;0.8156
0.8513;0.6928;0.8138
0.8519;0.6932;0.8137
0.8528;0.701;0.822
0.8535;0.702;0.8225
0.8537;0.7013;0.8215
0.8539;0.694;0.8127
0.8542;0.6952;0.8139
0.8544;0.7004;0.8197
0.8548;0.7;0.8189
0.8553;0.6995;0.8179
0.857;0.6974;0.8138
0.8575;0.6984;0.8145
0.8579;0.6984;0.8141
0.8582;0.7025;0.8186
0.8595;0.7062;0.8216
0.8599;0.7005;0.8146
0.8606;0.6994;0.8127
0.861;0.708;0.8223
0.8622;0.7023;0.8145
0.8626;0.7056;0.818
0.8628;0.7108;0.8238
0.8633;0.7027;0.814
0.8639;0.7032;0.814
0.8642;0.7109;0.8226
0.8644;0.706;0.8168
0.8648;0.706;0.8164
0.8655;0.7031;0.8124
0.8666;0.7083;0.8173
0.8675;0.7117;0.8204
0.8679;0.7107;0.8189
0.8682;0.7136;0.8219
0.8693;0.7118;0.8188
0.8697;0.7089;0.8151
0.8702;0.7141;0.8206
0.8708;0.7192;0.8259
0.8715;0.7179;0.8237
0.8717;0.7151;0.8204
0.8719;0.7123;0.817
0.8724;0.7177;0.8227
0.8726;0.7179;0.8227
0.873;0.7148;0.8188
0.8733;0.7132;0.8167
0.8737;0.7205;0.8247
0.8739;0.7172;0.8207
0.8742;0.7133;0.8159
0.8744;0.7159;0.8187
0.8746;0.7173;0.8202
0.875;0.7198;0.8226
0.8753;0.7179;0.8202
0.8755;0.7169;0.8188
0.8766;0.7173;0.8183
0.8773;0.7166;0.8168
0.8777;0.7213;0.8218
0.8779;0.7208;0.821
0.8788;0.7235;0.8233
0.8795;0.7203;0.819
0.8799;0.7235;0.8223
0.8804;0.7218;0.8198
0.8806;0.7231;0.8212
0.8808;0.7193;0.8167
0.8817;0.722;0.8189
0.8819;0.7218;0.8185
0.8824;0.7231;0.8195
0.883;0.7291;0.8257
0.8833;0.7201;0.8152
0.8837;0.728;0.8238
0.8846;0.7243;0.8188
0.885;0.7247;0.8189
0.8853;0.7265;0.8206
0.8861;0.7281;0.8217
0.8877;0.7289;0.8211
0.8881;0.7252;0.8166
0.8884;0.7304;0.8221
0.8886;0.7278;0.819
0.8888;0.7261;0.817
0.8893;0.7322;0.8233
0.8895;0.7268;0.8171
0.8897;0.737;0.8284
0.8899;0.7338;0.8246
0.8901;0.7333;0.8238
0.8904;0.7288;0.8185
0.8908;0.7314;0.8211
0.891;0.7309;0.8203
0.8913;0.7308;0.8199
0.8921;0.7346;0.8234
0.8924;0.7294;0.8174
0.8926;0.7318;0.8199
0.8935;0.7358;0.8235
0.8946;0.7389;0.8259
0.895;0.7364;0.8228
0.8953;0.7322;0.8178
0.8955;0.7391;0.8254
0.8957;0.7344;0.8199
0.8961;0.737;0.8224
0.8966;0.7357;0.8206
0.8968;0.7412;0.8265
0.897;0.7391;0.824
0.8977;0.7409;0.8253
0.8979;0.738;0.8219
0.8981;0.738;0.8217
0.8984;0.7404;0.8241
0.899;0.734;0.8165
0.8997;0.7382;0.8205
0.9001;0.7375;0.8193
0.9006;0.7374;0.8188
0.9008;0.7376;0.8188
0.9017;0.7394;0.82
0.9021;0.7417;0.8222
0.9028;0.745;0.8252
0.903;0.7468;0.827
0.9035;0.7444;0.8239
0.9039;0.741;0.8198
0.9041;0.748;0.8273
0.9046;0.7456;0.8242
0.9053;0.7472;0.8254
0.9055;0.7423;0.8198
0.9057;0.7475;0.8253
0.9059;0.7415;0.8185
0.9064;0.7475;0.8247
0.9068;0.7469;0.8237
0.9073;0.7461;0.8223
0.9075;0.7492;0.8256
0.9079;0.7482;0.8241
0.9086;0.7476;0.8228
0.909;0.753;0.8284
0.9093;0.7455;0.8199
0.9101;0.7502;0.8243
0.911;0.7525;0.826
0.9115;0.7486;0.8213
0.9117;0.7505;0.8232
0.9121;0.7513;0.8237
0.913;0.7472;0.8184
0.9137;0.7533;0.8245
0.9139;0.7556;0.8268
0.9141;0.7511;0.8217
0.915;0.7521;0.822
0.9153;0.7505;0.82
0.9161;0.757;0.8263
0.9175;0.7546;0.8224
0.9181;0.7582;0.8258
0.9186;0.7567;0.8238
0.919;0.7562;0.8229
0.9192;0.7599;0.8267
0.9197;0.7545;0.8204
0.9199;0.7609;0.8272
0.9201;0.7621;0.8283
0.9204;0.7565;0.8219
0.9206;0.7612;0.8268
0.9208;0.7575;0.8226
0.921;0.7591;0.8242
0.9212;0.756;0.8207
0.9215;0.7604;0.8252
0.9224;0.762;0.8261
0.923;0.7599;0.8233
0.9244;0.7628;0.8252
0.9246;0.7646;0.8269
0.9248;0.7637;0.8258
0.9252;0.7621;0.8237
0.9259;0.7601;0.8209
0.9261;0.7689;0.8303
0.9264;0.7662;0.8271
0.9266;0.7633;0.8238
0.9268;0.7678;0.8284
0.927;0.7664;0.8267
0.9272;0.7686;0.8289
0.9281;0.7689;0.8285
0.9284;0.7678;0.827
0.9292;0.7702;0.8289
0.9295;0.7676;0.8258
0.9297;0.7689;0.827
0.9306;0.7735;0.8312
0.9308;0.7711;0.8284
0.9312;0.7696;0.8265
0.9324;0.7696;0.8254
0.933;0.7723;0.8278
0.9335;0.7704;0.8253
0.9341;0.7741;0.8287
0.9344;0.7738;0.8281
0.9346;0.7782;0.8327
0.9352;0.7727;0.8262
0.9357;0.7713;0.8243
0.9359;0.7689;0.8216
0.9361;0.7756;0.8285
0.9364;0.7733;0.8258
0.9366;0.7734;0.8257
0.937;0.7772;0.8295
0.9372;0.7809;0.8332
0.9375;0.7735;0.8251
0.9379;0.7722;0.8233
0.9381;0.7761;0.8273
0.9386;0.7719;0.8224
0.9388;0.7781;0.8288
0.939;0.7822;0.833
0.9392;0.7772;0.8275
0.9395;0.7812;0.8315
0.9399;0.7835;0.8336
0.9406;0.7764;0.8254
0.9415;0.7777;0.826
0.9417;0.7838;0.8323
0.9421;0.781;0.829
0.9424;0.7776;0.8251
0.9432;0.783;0.8301
0.9441;0.7817;0.828
0.9444;0.7817;0.8277
0.9448;0.7794;0.8249
0.9459;0.7807;0.8253
0.9461;0.7821;0.8267
0.9464;0.7875;0.8321
0.947;0.7844;0.8283
0.9477;0.785;0.8283
0.9479;0.7883;0.8316
0.9481;0.7847;0.8277
0.9488;0.789;0.8316
0.9501;0.788;0.8294
0.9503;0.7816;0.8225
0.9506;0.7865;0.8274
0.9508;0.7891;0.8299
0.951;0.79;0.8307
0.9515;0.7885;0.8287
0.9517;0.7838;0.8236
0.9523;0.7887;0.8282
0.9528;0.7892;0.8283
0.9537;0.7915;0.8299
0.9548;0.7874;0.8247
0.955;0.7927;0.8301
0.9557;0.7929;0.8297
0.9559;0.7929;0.8295
0.9561;0.7897;0.826
0.9568;0.7937;0.8295
0.9572;0.7934;0.8289
0.9579;0.792;0.8268
0.9586;0.7938;0.8281
0.9588;0.7962;0.8304
0.959;0.797;0.8311
0.9592;0.7936;0.8274
0.9595;0.7929;0.8264
0.9603;0.7941;0.8269
0.9606;0.8001;0.8329
0.9617;0.7966;0.8283
0.9619;0.7984;0.83
0.9621;0.8012;0.8328
0.9628;0.801;0.8319
0.9632;0.796;0.8264
0.9637;0.7956;0.8256
0.9639;0.7952;0.825
0.9641;0.7918;0.8213
0.9648;0.7974;0.8265
0.965;0.8043;0.8335
0.9652;0.802;0.8309
0.9657;0.8003;0.8287
0.9659;0.8027;0.831
0.9661;0.8001;0.8282
0.9666;0.8056;0.8334
0.9668;0.803;0.8306
0.9675;0.8041;0.8311
0.9679;0.8012;0.8278
0.9681;0.8026;0.829
0.9683;0.7989;0.8251
0.969;0.8013;0.8269
0.9692;0.8026;0.8281
0.9695;0.803;0.8283
0.9699;0.7989;0.8237
0.9701;0.8012;0.8259
0.9703;0.8061;0.8308
0.9708;0.8042;0.8284
0.9712;0.808;0.832
0.9715;0.8105;0.8343
0.9717;0.8055;0.829
0.9721;0.8078;0.831
0.9723;0.8051;0.828
0.9726;0.8093;0.8321
0.9728;0.8036;0.8261
0.9735;0.8093;0.8313
0.9739;0.8089;0.8306
0.9752;0.8119;0.8325
0.9755;0.8049;0.8251
0.9757;0.8117;0.8319
0.9759;0.8089;0.8289
0.9761;0.8081;0.8279
0.9763;0.8076;0.8272
0.9766;0.8156;0.8351
0.9768;0.8073;0.8265
0.977;0.8111;0.8302
0.9772;0.8084;0.8273
0.9775;0.8109;0.8296
0.9779;0.8121;0.8305
0.9781;0.8137;0.8319
0.9783;0.8118;0.8298
0.9786;0.8134;0.8312
0.9788;0.8106;0.8282
0.9792;0.8158;0.8331
0.9795;0.812;0.829
0.9797;0.8138;0.8307
0.9799;0.8138;0.8305
0.9801;0.8156;0.8322
0.9808;0.8146;0.8305
0.9817;0.8192;0.8345
0.983;0.8164;0.8305
0.9832;0.8185;0.8325
0.9835;0.8163;0.83
0.9848;0.8155;0.8281
0.9854;0.8185;0.8306
0.9863;0.8206;0.832
0.9866;0.8145;0.8256
0.9868;0.8233;0.8343
0.9877;0.813;0.8231
0.9879;0.8223;0.8324
0.989;0.8226;0.8317
0.9903;0.8239;0.832
0.9906;0.8226;0.8304
0.9912;0.8261;0.8334
0.9914;0.8229;0.83
0.9928;0.8217;0.8277
0.9932;0.827;0.8327
0.9934;0.8211;0.8266
0.9939;0.8296;0.8347
0.9941;0.8265;0.8314
0.9946;0.8301;0.8346
0.9948;0.8287;0.833
0.995;0.8246;0.8287
0.9952;0.8235;0.8275
0.9954;0.8272;0.831
0.9961;0.8235;0.8267
0.9963;0.8272;0.8303
0.9966;0.8302;0.833
0.9968;0.8319;0.8346
0.9972;0.8314;0.8337
0.9986;0.8339;0.8351
